phrase_AB,phrase_BA,freq_AB,freq_BA,overall_freq,rel_freq,word1_freq,word2_freq
body and head,head and body,122219,305207,427426,0.2859418940354588,435962134,480352149
command and control,control and command,765197,29542,794739,0.9628280479503334,101346081,404118266
child and wife,wife and child,7290,271695,278985,0.026130437120275282,336525620,143534863
aunt and uncle,uncle and aunt,518110,120233,638343,0.8116482831330492,10171453,13707292
cattle and horses,horses and cattle,71976,63405,135381,0.5316551066988721,16491176,31071541
politics and religion,religion and politics,158077,209682,367759,0.4298385627544125,57245315,51626041
july and june,june and july,182,7961,8143,0.022350485079209136,3332798,3670331
sailors and soldiers,soldiers and sailors,17194,76962,94156,0.18261183567696163,4680244,35543368
english and german,german and english,14122,11092,25214,0.560085666693107,14743825,4832505
food and shelter,shelter and food,494318,97161,591479,0.835732122357683,496658910,28301427
sights and sounds,sounds and sights,726168,45789,771957,0.9406845199926939,13422954,114874978
comings and goings,goings and comings,304951,5019,309970,0.9838081104623028,539483,1453535
heir and son,son and heir,1045,169108,170153,0.006141531445228706,8118796,159800229
coat and hat,hat and coat,53684,39044,92728,0.5789405573289621,35408418,45592544
crime and punishment,punishment and crime,122829,1367,124196,0.9889932042899933,66321457,18145148
earth and sky,sky and earth,76417,28089,104506,0.7312211739038906,99903684,56605277
faith and love,love and faith,177691,84018,261709,0.6789640402126026,85784659,687370528
mother and son,son and mother,302182,18005,320187,0.94376723602145,172769028,159800229
cents and dollars,dollars and cents,2069,213004,215073,0.009619989491939946,19428423,75328314
turns and twists,twists and turns,30862,2239029,2269891,0.013596247573121353,76440826,7511480
fire and police,police and fire,128424,636038,764462,0.16799265365708171,216329156,168396479
months and years,years and months,905290,45787,951077,0.9518577360192708,372362669,1299258845
editor and publisher,publisher and editor,152360,67848,220208,0.6918913027682918,67389434,19027270
aunts and uncles,uncles and aunts,392259,82612,474871,0.8260327541584978,2244056,2487059
research and training,training and research,233080,166276,399356,0.5836396598523623,538829319,289928603
eyes and hair,hair and eyes,70255,133642,203897,0.34456122453984117,174969093,184494533
methods and principles,principles and methods,32906,111387,144293,0.2280498707491008,171217440,54500996
city and country,country and city,150722,63557,214279,0.7033913729296851,349744382,390801078
bread and cheese,cheese and bread,123638,70121,193759,0.6381019720374279,62396748,57842859
location and size,size and location,142437,310061,452498,0.3147792918421739,186491126,310435195
childhood and infancy,infancy and childhood,1723,58272,59995,0.02871905992166014,43204629,3805794
morning and night,night and morning,385723,62977,448700,0.8596456429685759,195436933,430130449
council and governor,governor and council,443,7426,7869,0.05629686110052103,45578832,25415453
age and day,day and age,4299,2807461,2811760,0.0015289356132813612,293969856,1069603131
body and face,face and body,138892,575743,714635,0.19435376101086568,435962134,294547561
hair and skin,skin and hair,437567,806151,1243718,0.35182171521196925,184494533,203825470
nitrogen and oxygen,oxygen and nitrogen,75935,112591,188526,0.40278264006025694,14123623,36535843
piano and violin,violin and piano,62960,119164,182124,0.3456985350640223,25736853,8506108
ceiling and walls,walls and ceiling,85778,271992,357770,0.23975738603013108,25846952,61067278
color and texture,texture and color,429448,166406,595854,0.7207268894729246,262936283,35851913
environment and heredity,heredity and environment,2341,15971,18312,0.12783966797728266,230179706,616283
everybody and everything,everything and everybody,44782,70657,115439,0.3879278233525931,44288118,349185130
bacon and eggs,eggs and bacon,180277,119345,299622,0.6016814519628064,13896087,47778813
paper and pen,pen and paper,142005,988852,1130857,0.12557290621183756,274465797,118713678
concrete and steel,steel and concrete,169818,159437,329255,0.5157643771544851,47533557,68410757
color and light,light and color,134115,150165,284280,0.47177078936260025,262936283,454245346
friends and relations,relations and friends,123910,20753,144663,0.8565424469283783,311927908,51981867
boots and shoes,shoes and boots,112662,143206,255868,0.4403129738771554,23075936,56904122
hearing and sight,sight and hearing,28178,80935,109113,0.25824603851053496,81013650,57816631
expense and time,time and expense,41420,342408,383828,0.1079129193284492,32032860,2768150129
flowers and plants,plants and flowers,318639,523461,842100,0.37838617741360886,58361334,108953335
beauty and truth,truth and beauty,37970,63324,101294,0.37484944814105475,79040303,119352675
bone and flesh,flesh and bone,17572,107818,125390,0.14013876704681394,48719276,18402371
doubts and fears,fears and doubts,111977,74594,186571,0.6001843802091429,12683791,22414397
fits and starts,starts and fits,218817,1185,220002,0.9946136853301334,39056013,104022452
light and sound,sound and light,304448,315647,620095,0.4909699320265443,454245346,244355934
beauty and youth,youth and beauty,22625,67064,89689,0.2522605893699339,79040303,79632929
fiction and poetry,poetry and fiction,111333,69317,180650,0.6162911707722114,33891848,26945661
needle and thread,thread and needle,221904,18259,240163,0.9239724686983424,16711618,75602093
back and shoulders,shoulders and back,172455,124725,297180,0.5803048657379366,1388050574,22506091
crime and violence,violence and crime,175102,81572,256674,0.6821960930986387,66321457,70696520
